table_name,column_name,data_type
price_list_record,sale_price,FLOAT64
price_list_record,sku,STRING
price_list_record,variant_id,INT64
product,availability,STRING
product,availability_description,STRING
product,base_variant_id,INT64
product,bin_picking_number,STRING
product,brand_id,INT64
product,brand_name,STRING
product,calculated_price,FLOAT64
product,condition,STRING
product,cost_price,FLOAT64
product,custom_url,STRING
product,custom_url_is_customized,BOOL
product,date_created,TIMESTAMP
product,date_modified,TIMESTAMP
product,depth,FLOAT64
product,description,STRING
product,fixed_cost_shipping_price,FLOAT64
product,gift_wrapping_options_type,STRING
product,gtin,STRING
product,height,FLOAT64
product,id,INT64
product,inventory_level,INT64
product,inventory_tracking,STRING
product,inventory_warning_level,INT64
product,is_condition_shown,BOOL
product,is_featured,BOOL
product,is_free_shipping,BOOL
product,is_preorder_hidden,BOOL
product,is_preorder_only,BOOL
product,is_price_hidden,BOOL
product,is_visible,BOOL
product,map_price,FLOAT64
product,meta_description,STRING
product,mpn,STRING
product,name,STRING
product,option_set_display,STRING
product,option_set_id,INT64
product,order_quantity_maximum,INT64
product,order_quantity_minimum,INT64
product,page_title,STRING
product,preorder_message,STRING
product,preorder_release_date,STRING
product,price,FLOAT64
product,price_hidden_label,STRING
product,product_tax_code,STRING
product,retail_price,FLOAT64
product,reviews_count,INT64
product,reviews_rating_sum,FLOAT64
product,sale_price,FLOAT64
product,search_keywords,STRING
product,sku,STRING
product,sort_order,INT64
product,tax_class_id,INT64
product,total_sold,INT64
product,type,STRING
product,upc,STRING
product,view_count,INT64
product,warranty,STRING
product,weight,FLOAT64
product,width,FLOAT64
product_category,category_id,INT64
product_category,product_id,INT64
product_custom_field,id,INT64
product_custom_field,name,STRING
product_custom_field,product_id,INT64
product_custom_field,value,STRING
product_image,date_created,TIMESTAMP
product_image,description,STRING
product_image,id,INT64
product_image,is_thumbnail,BOOL
product_image,product_id,INT64
product_image,sort_order,INT64
product_review,date_created,TIMESTAMP
product_review,date_modified,TIMESTAMP
product_review,date_reviewed,TIMESTAMP
product_review,email,STRING
product_review,id,INT64
product_review,name,STRING
product_review,product_id,INT64
product_review,rating,INT64
product_review,status,STRING
product_review,text,STRING
product_review,title,STRING
product_variant,bin_picking_number,STRING
product_variant,calculated_price,FLOAT64
product_variant,calculated_weight,INT64
product_variant,cost_price,FLOAT64
product_variant,depth,FLOAT64
product_variant,fixed_cost_shipping_price,FLOAT64
product_variant,height,FLOAT64
product_variant,id,INT64
product_variant,inventory_level,INT64
product_variant,inventory_warning_level,INT64
product_variant,is_free_shipping,BOOL
product_variant,mpn,STRING
product_variant,price,FLOAT64
product_variant,product_id,INT64
product_variant,purchasing_disabled,BOOL
product_variant,purchasing_disabled_message,STRING
product_variant,retail_price,FLOAT64
product_variant,sale_price,INT64
product_variant,sku,STRING
product_variant,sku_id,INT64
product_variant,upc,STRING
product_variant,weight,FLOAT64
product_variant,width,FLOAT64
shipping_zone,enabled,BOOL
shipping_zone,free_shipping_enabled,BOOL
shipping_zone,free_shipping_exclude_fixed_shipping_products,BOOL
shipping_zone,free_shipping_minimum_sub_total,FLOAT64
shipping_zone,handling_fees_display_separately,BOOL
shipping_zone,handling_fees_fixed_surcharge,FLOAT64
shipping_zone,handling_fees_percentage_surcharge,FLOAT64
shipping_zone,id,INT64
shipping_zone,name,STRING
shipping_zone,type,STRING
shipping_zone_location,country_iso_2,STRING
shipping_zone_location,id,INT64
shipping_zone_location,shipping_zone_id,INT64
shipping_zone_location,state_iso_2,STRING
shipping_zone_location,zip,STRING
shipping_zone_method,enabled,BOOL
shipping_zone_method,fixed_surcharge,INT64
shipping_zone_method,id,INT64
shipping_zone_method,is_fallback,BOOL
shipping_zone_method,name,STRING
shipping_zone_method,settings,JSON
shipping_zone_method,shipping_zone_id,INT64
shipping_zone_method,type,STRING
store,address,STRING
store,admin_email,STRING
store,checkout_type,STRING
store,country,STRING
store,currency,STRING
store,currency_symbol,STRING
store,currency_symbol_location,STRING
store,decimal_places,INT64
store,decimal_separator,STRING
store,default_channel_id,INT64
store,default_site_id,INT64
store,dimension_decimal_places,INT64
store,dimension_units,STRING
store,domain,STRING
store,facebook_catalog_id,STRING
store,first_name,STRING
store,graphql_storefront_api_enabled,BOOL
store,id,STRING
store,industry,STRING
store,is_price_entered_with_tax,BOOL
store,languages,STRING
store,last_name,STRING
store,multi_storefront_enabled,BOOL
store,name,STRING
store,order_email,STRING
store,phone,STRING
store,plan_is_trial,BOOL
store,plan_level,STRING
store,plan_name,STRING
store,shopper_consent_tracking_enabled,BOOL
store,sitewidehttps_enabled,BOOL
store,status,STRING
store,stencil_enabled,BOOL
store,store_id,INT64
store,thousands_separator,STRING
store,timezone_display,STRING
store,timezone_dst_correction,BOOL
store,timezone_dst_offset,INT64
store,timezone_export,STRING
store,timezone_extended_display,STRING
store,timezone_name,STRING
store,timezone_raw_offset,INT64
store,weight_units,STRING
store,wishlists_enabled,BOOL
subscriber,channel_id,INT64
subscriber,date_created,TIMESTAMP
subscriber,date_modified,TIMESTAMP
subscriber,email,STRING
subscriber,first_name,STRING
subscriber,id,INT64
subscriber,last_name,STRING
subscriber,order_id,INT64
subscriber,source,STRING
tax_class,date_created,TIMESTAMP
tax_class,date_modified,TIMESTAMP
tax_class,id,STRING
tax_class,name,STRING
wishlist,customer_id,INT64
wishlist,id,INT64
wishlist,is_public,BOOL
wishlist,name,STRING
wishlist_item,id,INT64
wishlist_item,product_id,INT64
wishlist_item,variant_id,INT64
wishlist_item,wishlist_id,INT64
